name,price,ram,ssd,vcpu
Cloud VPS 1,160 000 VND,1,20,1
Cloud VPS 2,290 000 VND,2,30,2
Cloud VPS 3,390 000 VND,4,30,2
Cloud VPS 4,620 000 VND,6,40,4
Cloud VPS 5,750 000 VND,8,50,4
Cloud VPS 6,1 050 000 VND,12,50,6
Cloud VPS 7,1 200 000 VND,10,100,8
Cloud VPS 8,1 800 000 VND,16,200,8
